,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh,Price ($/MWh),price_GWh,pricespike,pricevolatility,pricesmooth
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,53.95,0.053950000000000005,False,0.25690991320830514,0.0708975
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,57.97,0.05797,False,0.2562011355019289,0.07095166666666666
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,59.24,0.05924,False,0.2598865064815301,0.07021416666666666
2015-01,23.132,1,2015,Summer,1.0470000000000006,0.0036000000000000034,0.017900000000000003,23.1141,7.9085,0.3295208333333333,5.66673365535,68.21,0.06820999999999999,False,0.2586390811344024,0.06974583333333333
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,73.42,0.07342,False,0.2504798349260283,0.068805
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,70.78,0.07078,False,0.21695634921771487,0.06633916666666666
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,67.62,0.06762,False,0.18480430175743176,0.064165
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,60.23,0.06023,False,0.1651234126246001,0.0623275
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,67.13,0.06713,False,0.13758776550492124,0.06094
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,57.75,0.05775,False,0.12908188718091268,0.06146583333333333
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,56.57,0.05657,False,0.1111849567480044,0.06212499999999999
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,59.03,0.05903,False,0.1005855809926316,0.06265833333333333
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,53.27,0.053270000000000005,False,0.10229954631911375,0.06260166666666665
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,51.46,0.05146,False,0.11492602327336544,0.062059166666666665
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,47.18,0.04718,False,0.13856287943423967,0.061054166666666666
2016-01,38.376,1,2016,Summer,0.9259999999999948,0.005235000000000003,0.08686,38.289139999999996,6.8935,0.2872291666666667,8.182331784290001,44.95,0.044950000000000004,False,0.15694150356563857,0.05911583333333333
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,41.6,0.0416,False,0.16729479567828948,0.05646416666666667
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,48.37,0.048369999999999996,False,0.15345942930605092,0.05459666666666666
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,49.93,0.04993,False,0.13721165986468745,0.053122499999999996
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,51.0,0.051,False,0.13066893652925024,0.052353333333333335
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,43.37,0.04337,False,0.11226608290126575,0.05037333333333333
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,66.12,0.06612,False,0.13279617815770786,0.051070833333333336
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,115.75,0.11575,False,0.2733738283588367,0.056002500000000004
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,142.42,0.14242,False,0.3928480460902717,0.06295166666666667
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,85.16,0.08516,False,0.4069640826891715,0.06560916666666668
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,56.28,0.056280000000000004,False,0.40465138404763945,0.06601083333333334
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,56.54,0.05654,False,0.39777501232112594,0.06679083333333334
2017-01,54.194,1,2017,Summer,0.9120000000000061,0.004629999999999974,0.16307999999999995,54.03092,6.6156,0.27565,11.080855584912,98.94,0.09894,False,0.4062445098331963,0.07128999999999999
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,124.18,0.12418000000000001,False,0.41685309593182335,0.07817166666666667
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,120.39,0.12039,False,0.42085953427756134,0.08417333333333334
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,66.24,0.06624,False,0.4013332804728465,0.08553250000000001
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,61.69,0.061689999999999995,False,0.3856346229427022,0.08642333333333334
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,60.19,0.06019,False,0.34725888658372656,0.087825
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,58.43,0.05843,False,0.35634809334163553,0.08718416666666667
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,99.12,0.09912,False,0.3454437792920938,0.08579833333333332
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,77.16,0.07715999999999999,False,0.2965251294690625,0.08036
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,83.59,0.08359,False,0.29600539846347873,0.08022916666666667
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,88.41,0.08841,False,0.2809052032849812,0.08290666666666667
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,296.67,0.29667,True,0.4511976322269723,0.1029175
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.004560000000000031,0.24216999999999994,72.10182999999999,6.5962,0.27484166666666665,14.743540822425997,182.03,0.18203,False,0.4928494044248907,0.10984166666666666
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,107.15,0.10715000000000001,False,0.4878142930010159,0.10842249999999999
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,131.12,0.13112000000000001,False,0.4921253394631299,0.10931666666666666
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,163.7,0.16369999999999998,False,0.4992815406240863,0.11743833333333333
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,178.12,0.17812,False,0.49304125866470355,0.12714083333333334
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,108.71,0.10870999999999999,False,0.45208482584498283,0.13118416666666666
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,109.22,0.10922,False,0.3952653853457349,0.13541666666666666
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,106.95,0.10695,False,0.39177354974366685,0.13606916666666666
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,109.26,0.10926000000000001,False,0.36407675584591176,0.13874416666666667
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,129.65,0.12965000000000002,False,0.33695968995086145,0.1425825
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,124.3,0.1243,False,0.3117753677673129,0.14557333333333333
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,125.52,0.12552,False,0.19908515407743965,0.13131083333333335
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006574999999999989,0.33291999999999994,93.10708,7.5266,0.3136083333333333,21.724172198168,107.32,0.10732,False,0.1723386333772128,0.125085
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,33.49,0.03349,False,0.4148320955922818,0.11894666666666666
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,87.69,0.08769,False,0.41711171352634024,0.11532750000000001
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,66.85,0.06684999999999999,False,0.4164408748406122,0.10725666666666667
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,65.09,0.06509000000000001,False,0.3911554847075304,0.09783750000000001
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,46.02,0.046020000000000005,False,0.43484643672623974,0.09261333333333333
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,126.78,0.12678,False,0.44433437560830163,0.09407666666666666
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,160.0,0.16,False,0.47543598083100747,0.0984975
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,148.67,0.14867,False,0.4947683309371034,0.10178166666666666
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,114.61,0.11461,False,0.48832157958267886,0.10052833333333334
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,134.65,0.13465,False,0.49341712584910646,0.10139083333333333
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007064999999999984,0.4384,117.4106,7.2122,0.3005083333333333,26.25045060892,122.11,0.12211,False,0.49190346507909133,0.10110666666666666
