date,capacity_mw,month,year,season,mwincrease,decay,sumdecay,adjustedcapacity,ghi_kwh_m2_day,capacity_factor,generation_gwh
2017-11,69.524,11,2017,Spring,1.9200000000000017,0.006805,0.2308699999999999,69.29313,6.3917,0.26632083333333334,13.287026970630002
2017-12,71.029,12,2017,Summer,1.5049999999999955,0.00674,0.2376099999999999,70.79138999999999,7.4808,0.31170000000000003,16.41686314
2018-01,72.344,1,2018,Summer,1.3149999999999977,0.00456,0.24216999999999994,72.10182999999999,5.975,0.2489583333333333,13.355061461749997
2018-02,73.778,2,2018,Summer,1.4340000000000117,0.00536,0.24752999999999992,73.53047000000001,5.4494,0.22705833333333333,11.219514410104003
2018-03,75.396,3,2018,Autumn,1.617999999999995,0.006895,0.25442499999999996,75.141575,4.3166,0.17985833333333334,10.055039801995001
2018-04,76.67,4,2018,Autumn,1.274000000000001,0.0059,0.260325,76.40967500000001,3.0204,0.12585,6.923633471
2018-05,78.247,5,2018,Autumn,1.5769999999999982,0.00597,0.26629499999999995,77.980705,2.0263,0.084429167,4.8983813787865005
2018-06,79.679,6,2018,Winter,1.4320000000000022,0.009615,0.27590999999999993,79.40309,1.6428,0.06845,3.913301888
2018-07,81.38,7,2018,Winter,1.7009999999999934,0.00848,0.2843899999999999,81.09561,1.7616,0.0734,4.428598824
2018-08,82.905,8,2018,Winter,1.5250000000000057,0.008865,0.29325499999999993,82.611745,2.5459,0.10607916666666667,6.5199584894605005
2018-09,85.177,9,2018,Spring,2.2720000000000056,0.00743,0.300685,84.876315,4.175,0.17395833333333333,10.630758453750001
2018-10,87.72,10,2018,Spring,2.542999999999992,0.008535,0.30921999999999994,87.41078,5.3114,0.22130833333333333,14.39248212
2018-11,90.216,11,2018,Spring,2.495999999999995,0.0096,0.31881999999999994,89.89717999999999,5.7686,0.24035833333333334,15.55742618
2018-12,92.027,12,2018,Summer,1.811000000000007,0.007525,0.32634499999999994,91.700655,6.0422,0.25175833333333336,17.176284626871002
2019-01,93.44,1,2019,Summer,1.4129999999999967,0.006575,0.33291999999999994,93.10708,7.5355,0.31397916666666664,21.74986044
2019-02,95.128,2,2019,Summer,1.6880000000000024,0.00717,0.34009,94.78791,6.6439,0.2768291666666667,17.633319066972003
2019-03,97.308,3,2019,Autumn,2.180000000000007,0.00809,0.34818,96.95982000000001,4.3183,0.17992916666666667,12.979749311886001
2019-04,99.496,4,2019,Autumn,2.187999999999988,0.00637,0.35455,99.14144999999999,3.3058,0.13774166666666668,9.832254162
2019-05,102.166,5,2019,Autumn,2.6700000000000017,0.007885,0.36243499999999995,101.80356499999999,2.2757,0.094820833,7.181905559
2019-06,103.799,6,2019,Winter,1.6330000000000098,0.00716,0.36959499999999995,103.429405,1.7102,0.071258333,5.3065490529299995
2019-07,105.861,7,2019,Winter,2.0619999999999976,0.008505,0.37809999999999994,105.4829,1.6142,0.067258333,5.2783854125800005
2019-08,107.583,8,2019,Winter,1.7219999999999942,0.007625,0.385725,107.197275,2.7614,0.11505833333333333,9.176451211
2019-09,109.466,9,2019,Spring,1.8829999999999956,0.011360000000000028,0.397085,109.06891499999999,3.8381,0.15992083333333332,12.55852208
2019-10,111.738,10,2019,Spring,2.2720000000000056,0.012715,0.4098,111.3282,5.2375,0.21822916666666667,18.07552487
2019-11,113.835,11,2019,Spring,2.096999999999994,0.012479999999999975,0.42228,113.41272,6.2834,0.26180833333333337,21.37852455
2019-12,116.012,12,2019,Summer,2.1770000000000067,0.009055,0.431335,115.580665,6.3677,0.26532083333333334,22.815473016135495
2020-01,117.849,1,2020,Summer,1.8370000000000033,0.007065,0.4384,117.4106,7.061,0.29420833333333335,25.700123644600005
2020-02,119.854,2,2020,Summer,2.0049999999999955,0.00844,0.44684,119.40716,6.0425,0.25177083333333333,20.924015164700002
2020-03,121.525,3,2020,Autumn,1.6710000000000065,0.010900000000000035,0.45774000000000004,121.06726,4.5859,0.19107916666666666,17.211272776654003
2020-04,124.871,4,2020,Autumn,3.3459999999999894,0.010939999999999941,0.46868,124.40231999999999,3.42,0.1425,12.763678031999998
2020-05,126.885,5,2020,Autumn,2.014,0.01335,0.48203,126.40297000000001,2.142,0.08925,8.393410014
2020-06,129.421,6,2020,Winter,2.535999999999987,0.008165,0.49019500000000005,128.930805,1.5576,0.0649,6.024678656
2020-07,132.258,7,2020,Winter,2.8370000000000175,0.010309999999999988,0.5005050000000001,131.757495,1.8828,0.07845,7.690263359166002
2020-08,135.09,8,2020,Winter,2.8319999999999936,0.00861,0.5091150000000001,134.580885,2.7761,0.11567083333333333,11.581909840303501
2020-09,137.881,9,2020,Spring,2.790999999999997,0.009415,0.51853,137.36247,4.0798,0.16999166666666665,16.81234215
2020-10,141.31,10,2020,Spring,3.429000000000002,0.011360000000000028,0.5298900000000001,140.78011,4.6879,0.19532916666666666,20.45885541
2020-11,144.009,11,2020,Spring,2.698999999999984,0.010484999999999972,0.540375,143.46862499999997,5.1967,0.21652916666666666,22.366902106124996
2020-12,147.065,12,2020,Summer,3.0560000000000116,0.010885000000000034,0.5512600000000001,146.51373999999998,6.5496,0.2729,29.747798136623995
2021-01,150.839,1,2021,Summer,3.774000000000001,0.009185,0.5604450000000001,150.278555,6.9571,0.28987916666666663,32.41059098
2021-02,153.437,2,2021,Summer,2.598000000000013,0.010024999999999977,0.57047,152.86653,6.2957,0.26232083333333334,26.947250761788005
